,id,label,parent,synonym,length
138,DOID:0040060,ketoprofen photoallergic dermatitis,drug allergy,photoallergic dermatitis to orudis,34.0
139,DOID:0040060,ketoprofen photoallergic dermatitis,photoallergic dermatitis,photoallergic dermatitis to orudis,34.0
140,DOID:3818,photoallergic dermatitis,allergic contact dermatitis,photoallergic contact dermatitis,32.0
141,DOID:3818,photoallergic dermatitis,allergic contact dermatitis,photoallergic eczema,20.0
142,DOID:0040061,remazole black respiratory allergy,metal allergy,respiratory allergy to reactive black 5,39.0
143,DOID:0040061,remazole black respiratory allergy,respiratory allergy,respiratory allergy to reactive black 5,39.0
144,DOID:0060496,respiratory allergy,allergic disease,airway allergy,14.0
145,DOID:0040062,chloramine T respiratory allergy,metal allergy,respiratory allergy to chloraseptin,35.0
146,DOID:0040062,chloramine T respiratory allergy,metal allergy,respiratory allergy to chlorazol,32.0
147,DOID:0040062,chloramine T respiratory allergy,metal allergy,respiratory allergy to trichlorol,33.0
148,DOID:0040062,chloramine T respiratory allergy,respiratory allergy,respiratory allergy to chloraseptin,35.0
149,DOID:0040062,chloramine T respiratory allergy,respiratory allergy,respiratory allergy to chlorazol,32.0
150,DOID:0040062,chloramine T respiratory allergy,respiratory allergy,respiratory allergy to trichlorol,33.0
151,DOID:0040063,4-vinylcyclohexene dioxide respiratory allergy,respiratory allergy,respiratory allergy to vinyl cyclohexene diepoxide,50.0
152,DOID:0040064,carvone allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to levocarvone,43.0
153,DOID:0040065,quinidine allergy,drug allergy,kinidin allergy,15.0
154,DOID:0040066,melphalan allergy,drug allergy,alkeran allergy,15.0
155,DOID:0040067,neomycin sulfate allergic contact dermatitis,drug allergy,allergic contact dermatitis to neomycin sulphate,48.0
156,DOID:0040067,neomycin sulfate allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to neomycin sulphate,48.0
157,DOID:0040068,4-tert-butylphenol allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to ptbp,35.0
158,DOID:0040068,4-tert-butylphenol allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to butylphen,40.0
159,DOID:0040069,"1-chloro-2,4-dinitrobenzene allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to dncb,35.0
160,DOID:0040069,"1-chloro-2,4-dinitrobenzene allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to dinitrochlorobenzene,51.0
161,DOID:0040070,co-trimoxazole allergy,drug allergy,bactrim allergy,15.0
162,DOID:0040070,co-trimoxazole allergy,drug allergy,tmpsmx allergy,15.0
163,DOID:0040070,co-trimoxazole allergy,drug allergy,cotrimoxazol allergy,20.0
164,DOID:0040070,co-trimoxazole allergy,drug allergy,trimethoprimsulfamethoxazole allergy,37.0
165,DOID:0040071,sodium aurothiomalate allergy,drug allergy,gold sodium thiomalate allergy,30.0
166,DOID:0040072,parthenolide allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to feverfew,39.0
167,DOID:0040073,disodium cromoglycate allergy,drug allergy,dscg allergy,12.0
168,DOID:0040073,disodium cromoglycate allergy,metal allergy,dscg allergy,12.0
169,DOID:0040074,formaldehyde allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to formalin,39.0
170,DOID:0040075,benzo[d]isothiazol-3-one allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to bit,34.0
171,DOID:0040075,benzo[d]isothiazol-3-one allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to benzisothiazolone,48.0
172,DOID:0040076,phthalyl group allergy,drug allergy,phthalyl allergy,16.0
175,DOID:0040079,"2,4-dinitrophenyl allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to dnp,34.0
178,DOID:0040082,oxirane allergy,drug allergy,eto allergy,11.0
179,DOID:0040082,oxirane allergy,drug allergy,ethylene oxide allergy,22.0
181,DOID:874,bacterial pneumonia,bacterial infectious disease,pneumonia due to other gramnegative bacteria,45.0
182,DOID:874,bacterial pneumonia,bacterial infectious disease,gramnegative pneumonia,23.0
183,DOID:874,bacterial pneumonia,pneumonia,pneumonia due to other gramnegative bacteria,45.0
184,DOID:874,bacterial pneumonia,pneumonia,gramnegative pneumonia,23.0
188,DOID:0040086,Polyomavirus-associated nephropathy,Hantavirus hemorrhagic fever with renal syndrome,pvan,4.0
189,DOID:0040086,Polyomavirus-associated nephropathy,Hantavirus hemorrhagic fever with renal syndrome,polyomavirus associated nephropathy,35.0
190,DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,viral infectious disease,hfrs,4.0
191,DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,viral infectious disease,hemorrhagic fever russian,26.0
192,DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,viral infectious disease,hemorrhagic nephrosonephritis,29.0
193,DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,viral infectious disease,puumala virus nephropathy,25.0
194,DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,kidney disease,hfrs,4.0
195,DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,kidney disease,hemorrhagic fever russian,26.0
196,DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,kidney disease,hemorrhagic nephrosonephritis,29.0
197,DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,kidney disease,puumala virus nephropathy,25.0
211,DOID:76,stomach disease,gastrointestinal system disease,gastropathy,11.0
212,DOID:76,stomach disease,gastrointestinal system disease,stomach disorder,16.0
222,DOID:0040093,drug-induced lupus erythematosus,lupus erythematosus,dile,4.0
223,DOID:8857,lupus erythematosus,autoimmune disease of musculoskeletal system,lupus,5.0
236,DOID:0040099,livedoid vasculitis,vasculitis,livedoid vasculopathy,21.0
237,DOID:865,vasculitis,vascular disease,angiitis,8.0
238,DOID:0040100,Hirata disease,autoimmune disease of endocrine system,insulin autoimmune,27.0
239,DOID:0040101,"N,N'-diphenylthiourea allergic contact dermatitis",allergic contact dermatitis,neoprene allergy,16.0
240,DOID:0040102,"N,N'-diethylthiourea allergic contact dermatitis",allergic contact dermatitis,neoprene allergy,16.0
244,DOID:10400,gonococcal seminal vesiculitis,gonorrhea,gonorrhea of seminal vesicle,28.0
245,DOID:10400,gonococcal seminal vesiculitis,vesiculitis,gonorrhea of seminal vesicle,28.0
246,DOID:0050012,chikungunya,viral infectious disease,chikungunya fever,17.0
247,DOID:934,viral infectious disease,disease by infectious agent,viral infection,15.0
248,DOID:934,viral infectious disease,disease by infectious agent,viral,13.0
249,DOID:934,viral infectious disease,disease by infectious agent,virus infection,15.0
250,DOID:0050025,human granulocytic anaplasmosis,ehrlichiosis,human granulocytic ehrlichiosis,31.0
251,DOID:10242,ehrlichiosis,primary bacterial infectious disease,human ehrlichiosis,18.0
255,DOID:0050035,African tick-bite fever,spotted fever,rickettsia africae spotted fever,32.0
256,DOID:0050035,African tick-bite fever,spotted fever,south african tickbite fever,29.0
257,DOID:11104,spotted fever,primary bacterial infectious disease,spotted fever group rickettsial,39.0
261,DOID:0050046,Far Eastern spotted fever,spotted fever,rickettsia heilongjiangensis spotted fever,42.0
262,DOID:0050047,Flinders Island spotted fever,spotted fever,thai tick typhus,16.0
263,DOID:0050050,Japanese spotted fever,spotted fever,rickettsia japonica spotted fever,33.0
264,DOID:0050050,Japanese spotted fever,spotted fever,oriental spotted fever,22.0
265,DOID:0050051,Rickettsia parkeri spotted fever,spotted fever,maculatum infection,19.0
266,DOID:0050052,Rocky Mountain spotted fever,spotted fever,tick typhus,11.0
276,DOID:13564,aspergillosis,opportunistic mycosis,infection due to aspergillus,28.0
278,DOID:552,pneumonia,lung disease,acute pneumonia,15.0
281,DOID:0050096,tinea barbae,skin disease,dermatophytosis of beard,24.0
282,DOID:0050096,tinea barbae,dermatophytosis,dermatophytosis of beard,24.0
283,DOID:37,skin disease,integumentary system disease,genodermatosis,14.0
284,DOID:37,skin disease,integumentary system disease,skin and subcutaneous tissue,36.0
289,DOID:4337,tinea capitis,dermatophytosis,scalp ringworm,14.0
290,DOID:4337,tinea capitis,dermatophytosis,trichophyton rubrum tinea capitis,33.0
291,DOID:4337,tinea capitis,dermatophytosis,dermatophytosis of scalp or beard,33.0
292,DOID:4337,tinea capitis,dermatophytosis,tinea capitis due to trichophyton rubrum,40.0
296,DOID:12179,tinea corporis,skin disease,dermatophytosis of the trunk,28.0
297,DOID:12179,tinea corporis,skin disease,dermatophytosis of the body,27.0
298,DOID:12179,tinea corporis,dermatophytosis,dermatophytosis of the trunk,28.0
299,DOID:12179,tinea corporis,dermatophytosis,dermatophytosis of the body,27.0
300,DOID:0050117,disease by infectious agent,disease,infectious,18.0
301,DOID:0050118,La Crosse encephalitis,viral infectious disease,california encephalitis,23.0
302,DOID:0050118,La Crosse encephalitis,viral infectious disease,california virus encephalitis,29.0
303,DOID:0050118,La Crosse encephalitis,viral infectious disease,neuroinvasive california encephalitis virus infection,53.0
304,DOID:0050118,La Crosse encephalitis,brain disease,california encephalitis,23.0
305,DOID:0050118,La Crosse encephalitis,brain disease,california virus encephalitis,29.0
306,DOID:0050118,La Crosse encephalitis,brain disease,neuroinvasive california encephalitis virus infection,53.0
307,DOID:936,brain disease,central nervous system disease,encephalopathy,14.0
308,DOID:0050120,hemophagocytic lymphohistiocytosis,lymphatic system disease,haemophagocytic,24.0
309,DOID:75,lymphatic system disease,immune system disease,lymphangiopathy,15.0
310,DOID:75,lymphatic system disease,immune system disease,lymphatic,17.0
311,DOID:75,lymphatic system disease,immune system disease,disease of lympoid system,25.0
312,DOID:75,lymphatic system disease,immune system disease,disorder of lymph node and lymphatics,37.0
313,DOID:75,lymphatic system disease,immune system disease,disorder of lymphatic system,28.0
314,DOID:75,lymphatic system disease,immune system disease,disorder of lymphoid system,27.0
315,DOID:75,lymphatic system disease,immune system disease,lymphatic disorder,18.0
316,DOID:75,lymphatic system disease,immune system disease,lympoid system,22.0
318,DOID:12205,dengue disease,viral infectious disease,dengue fever,12.0
319,DOID:12205,dengue disease,viral infectious disease,breakbone fever,15.0
320,DOID:12205,dengue disease,viral infectious disease,classic dengue,14.0
322,DOID:1352,paranasal sinus disease,nose disease,disorder of nasal sinus,23.0
328,DOID:0050133,superficial mycosis,fungal infectious disease,steroidmodified tinea infection,32.0
329,DOID:0050133,superficial mycosis,fungal infectious disease,piedra,6.0
330,DOID:1564,fungal infectious disease,disease by infectious agent,mycosis,7.0
338,DOID:11976,botulism,primary bacterial infectious disease,botulism poisoning,18.0
339,DOID:11976,botulism,primary bacterial infectious disease,food poisoning due to clostridium botulinum,43.0
340,DOID:11976,botulism,primary bacterial infectious disease,foodborne botulism,18.0
341,DOID:11976,botulism,primary bacterial infectious disease,infection due to clostridium botulinum,38.0
342,DOID:11976,botulism,primary bacterial infectious disease,intoxication with clostridium botulinum toxin,45.0
344,DOID:0050144,Kartagener syndrome,primary ciliary dyskinesia,kartageners,21.0
345,DOID:9562,primary ciliary dyskinesia,ciliopathy,ciliary motility disorder,25.0
346,DOID:9562,primary ciliary dyskinesia,ciliopathy,immotile ciliary,25.0
347,DOID:0050145,adenoiditis,upper respiratory tract disease,chronic adenoiditis,19.0
349,DOID:0050147,otomycosis,otitis externa,singapore ear,13.0
350,DOID:9463,otitis externa,external ear disease,swimmers ear,13.0
353,DOID:10458,legionellosis,primary bacterial infectious disease,legionella infection,20.0
359,DOID:0050156,idiopathic pulmonary fibrosis,pulmonary fibrosis,fibrocystic pulmonary dysplasia,31.0
360,DOID:0050156,idiopathic pulmonary fibrosis,pulmonary fibrosis,idiopathic pulmonary fibrosis familial,39.0
361,DOID:0050156,idiopathic pulmonary fibrosis,pulmonary fibrosis,cryptogenic fibrosing alveolitis,32.0
362,DOID:3770,pulmonary fibrosis,interstitial lung disease,fibrosis of lung,16.0
363,DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,boop,4.0
364,DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,cryptogenic organising pneumonitis,34.0
365,DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,cryptogenic organizing pneumonitis,34.0
366,DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,bronchiolitis obliterans organising pneumonia,45.0
367,DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,bronchiolitis obliterans organizing pneumonia,45.0
368,DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,cryptogenic organising pneumonia,32.0
369,DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,idiopathic bronchiolitis obliterans with organising pneumonia,61.0
370,DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,idiopathic bronchiolitis obliterans with organizing pneumonia,61.0
371,DOID:2797,idiopathic interstitial pneumonia,pneumonia,diffuse idiopathic pulmonary fibrosis,37.0
372,DOID:2797,idiopathic interstitial pneumonia,pneumonia,idiopathic fibrosing alveolitis,31.0
373,DOID:0050158,desquamative interstitial pneumonia,idiopathic interstitial pneumonia,rbild,5.0
374,DOID:0050158,desquamative interstitial pneumonia,idiopathic interstitial pneumonia,familial desquamative interstitial pneumonitis,46.0
375,DOID:0050158,desquamative interstitial pneumonia,idiopathic interstitial pneumonia,respiratory bronchiolitisassociated interstitial lung,62.0
377,DOID:0050160,inhalation anthrax,anthrax disease,pulmonary anthrax,17.0
378,DOID:0050160,inhalation anthrax,anthrax disease,respiratory anthrax,19.0
379,DOID:0050160,inhalation anthrax,anthrax disease,woolsorters,21.0
380,DOID:0050160,inhalation anthrax,anthrax disease,woolsorters,20.0
388,DOID:0050167,autoimmune polyendocrine syndrome type 1,autoimmune polyendocrine syndrome,autoimmune polyglandular i,35.0
389,DOID:0050167,autoimmune polyendocrine syndrome type 1,autoimmune polyendocrine syndrome,whitaker,17.0
390,DOID:0050167,autoimmune polyendocrine syndrome type 1,autoimmune polyendocrine syndrome,autoimmune polyendocrinopathycandidiasisectodermal dystrophy,62.0
391,DOID:14040,autoimmune polyendocrine syndrome,autoimmune disease of endocrine system,autoimmune polyglandular failure,32.0
392,DOID:14040,autoimmune polyendocrine syndrome,autoimmune disease of endocrine system,lloyds,16.0
393,DOID:14040,autoimmune polyendocrine syndrome,autoimmune disease of endocrine system,autoimmune polyendocrinopathy,29.0
394,DOID:0050168,autoimmune polyendocrine syndrome type 2,autoimmune polyendocrine syndrome,schmidt,16.0
398,DOID:2365,West Nile encephalitis,viral infectious disease,west nile fever with encephalitis,33.0
399,DOID:2365,West Nile encephalitis,viral infectious disease,west nile fever encephalitis,28.0
400,DOID:2365,West Nile encephalitis,brain disease,west nile fever with encephalitis,33.0
401,DOID:2365,West Nile encephalitis,brain disease,west nile fever encephalitis,28.0
402,DOID:0050175,tick-borne encephalitis,viral infectious disease,central european encephalitis,29.0
403,DOID:0050175,tick-borne encephalitis,viral infectious disease,far eastern tbe,15.0
404,DOID:0050175,tick-borne encephalitis,viral infectious disease,russian springsummer encephalitis,34.0
405,DOID:0050175,tick-borne encephalitis,viral infectious disease,siberian tickborne encephalitis,32.0
406,DOID:0050175,tick-borne encephalitis,viral infectious disease,taiga encephalitis,18.0
407,DOID:0050175,tick-borne encephalitis,viral infectious disease,western european tickborne encephalitis,40.0
408,DOID:0050175,tick-borne encephalitis,viral infectious disease,westsiberian encephalitis,26.0
414,DOID:1205,allergic disease,immune system disease,allergic hypersensitivity,33.0
415,DOID:1205,allergic disease,immune system disease,hypersensitivity,16.0
416,DOID:1205,allergic disease,immune system disease,hypersensitivity reaction type i,40.0
428,DOID:1884,viral hepatitis,viral infectious disease,viral hepatitis with hepatic coma,33.0
429,DOID:1884,viral hepatitis,viral infectious disease,animal viral hepatitis,22.0
430,DOID:1884,viral hepatitis,viral infectious disease,human viral hepatitis,21.0
431,DOID:1884,viral hepatitis,hepatitis,viral hepatitis with hepatic coma,33.0
432,DOID:1884,viral hepatitis,hepatitis,animal viral hepatitis,22.0
433,DOID:1884,viral hepatitis,hepatitis,human viral hepatitis,21.0
435,DOID:8469,influenza,viral infectious disease,influenza with other manifestations,35.0
437,DOID:8469,influenza,viral infectious disease,influenza with nonrespiratory manifestation,44.0
438,DOID:8469,influenza,respiratory system disease,influenza with other manifestations,35.0
440,DOID:8469,influenza,respiratory system disease,influenza with nonrespiratory manifestation,44.0
441,DOID:0050214,Lambert-Eaton myasthenic syndrome,autoimmune disease of peripheral nervous system,eatonlambert,22.0
442,DOID:0050214,Lambert-Eaton myasthenic syndrome,autoimmune disease of peripheral nervous system,lems,4.0
443,DOID:0050214,Lambert-Eaton myasthenic syndrome,autoimmune disease of peripheral nervous system,lamberteaton,22.0
444,DOID:0050214,Lambert-Eaton myasthenic syndrome,autoimmune disease of musculoskeletal system,eatonlambert,22.0
445,DOID:0050214,Lambert-Eaton myasthenic syndrome,autoimmune disease of musculoskeletal system,lems,4.0
446,DOID:0050214,Lambert-Eaton myasthenic syndrome,autoimmune disease of musculoskeletal system,lamberteaton,22.0
447,DOID:0050214,Lambert-Eaton myasthenic syndrome,neuromuscular junction disease,eatonlambert,22.0
448,DOID:0050214,Lambert-Eaton myasthenic syndrome,neuromuscular junction disease,lems,4.0
449,DOID:0050214,Lambert-Eaton myasthenic syndrome,neuromuscular junction disease,lamberteaton,22.0
451,DOID:0050218,polycystic echinococcosis,echinococcosis,human polycystic hydatid,32.0
452,DOID:0050218,polycystic echinococcosis,echinococcosis,neotropical echinococcosis,26.0
453,DOID:0050218,polycystic echinococcosis,liver disease,human polycystic hydatid,32.0
454,DOID:0050218,polycystic echinococcosis,liver disease,neotropical echinococcosis,26.0
455,DOID:1496,echinococcosis,parasitic helminthiasis infectious disease,echinococcosis of liver,23.0
456,DOID:1496,echinococcosis,parasitic helminthiasis infectious disease,echinococcal,20.0
457,DOID:1496,echinococcosis,parasitic helminthiasis infectious disease,hepatic echinococcosis,22.0
458,DOID:1496,echinococcosis,parasitic helminthiasis infectious disease,hydatid,15.0
459,DOID:1496,echinococcosis,parasitic helminthiasis infectious disease,hydatidosis,11.0
460,DOID:1496,echinococcosis,parasitic helminthiasis infectious disease,liver echinococcus,18.0
461,DOID:1496,echinococcosis,parasitic helminthiasis infectious disease,pulmonary echinococcosis,24.0
462,DOID:409,liver disease,hepatobiliary disease,disorder of liver,17.0
463,DOID:409,liver disease,hepatobiliary disease,hepatic disorder,16.0
