id,label,parent,synonym
DOID:0014667,disease of metabolism,disease,metabolic disease
DOID:0040001,shrimp allergy,crustacean allergy,
DOID:0060524,crustacean allergy,shellfish allergy,
DOID:0040002,aspirin allergy,drug allergy,ASA allergy
DOID:0040002,aspirin allergy,drug allergy,acetylsalicylic acid allergy
DOID:0060500,drug allergy,allergic disease,
DOID:0040003,benzylpenicillin allergy,beta-lactam allergy,benzyl penicillin allergy
DOID:0040003,benzylpenicillin allergy,beta-lactam allergy,penicillin G allergy
DOID:0060519,beta-lactam allergy,drug allergy,
DOID:0040004,amoxicillin allergy,beta-lactam allergy,
DOID:0040005,ceftriaxone allergy,cephalosporin allergy,rocephin allergy
DOID:0040021,cephalosporin allergy,drug allergy,
DOID:0040006,carbamazepine allergy,drug allergy,Tegretol allergy
DOID:0040006,carbamazepine allergy,drug allergy,carbamazepen allergy
DOID:0040007,abacavir allergy,drug allergy,ABC allergy
DOID:0040008,isoniazide allergy,drug allergy,INH allergy
DOID:0040008,isoniazide allergy,drug allergy,isonicotinylhydrazide allergy
DOID:0040009,lidocaine allergy,drug allergy,Lidoderm allergy
DOID:0040009,lidocaine allergy,drug allergy,lignocaine allergy
DOID:0040009,lidocaine allergy,drug allergy,xylocaine allergy
DOID:0040010,mepivacaine allergy,drug allergy,Carbocaine allergy
DOID:0040010,mepivacaine allergy,drug allergy,Polocaine allergy
DOID:0040011,phenobarbital allergy,drug allergy,Luminal allergy
DOID:0040011,phenobarbital allergy,drug allergy,phenobarbitol allergy
DOID:0040011,phenobarbital allergy,drug allergy,phenobarbitone allergy
DOID:0040012,phenytoin allergy,drug allergy,Dilantin allergy
DOID:0040013,ranitidine allergy,drug allergy,Zantac allergy
DOID:0040014,corticosteroid allergy,drug allergy,
DOID:0040015,sulfonamide allergy,drug allergy,
DOID:0040016,sulfamethoxazole allergy,drug allergy,SMX allergy
DOID:0040016,sulfamethoxazole allergy,drug allergy,SMZ allergy
DOID:0040016,sulfamethoxazole allergy,drug allergy,sulphamethoxazole allergy
DOID:0040017,suprofen allergy,drug allergy,Profenal allergy
DOID:0040018,thiopental allergy,drug allergy,penthiobarbital allergy
DOID:0040018,thiopental allergy,drug allergy,pentothiobarbital allergy
DOID:0040019,D-mannitol allergy,drug allergy,mannitol allergy
DOID:0040020,cefotaxime allergy,cephalosporin allergy,
DOID:0040022,amodiaquine allergy,drug allergy,Camoquin allergy
DOID:0040022,amodiaquine allergy,drug allergy,Flavoquine allergy
DOID:0040023,cefaclor allergy,cephalosporin allergy,Ceclor allergy
DOID:0040023,cefaclor allergy,cephalosporin allergy,cephaclor allergy
DOID:0040024,ceftazidime allergy,cephalosporin allergy,Fortaz allergy
DOID:0040024,ceftazidime allergy,cephalosporin allergy,Tazicef allergy
DOID:0040025,cefuroxime allergy,cephalosporin allergy,Zinacef allergy
DOID:0040025,cefuroxime allergy,cephalosporin allergy,cephuroxime allergy
DOID:0040026,chlorhexidine allergy,drug allergy,
DOID:0040027,cyclophosphamide allergy,drug allergy,cytophosphane allergy
DOID:0040028,succinylcholine allergy,drug allergy,dicholine succinate allergy
DOID:0040028,succinylcholine allergy,drug allergy,succinocholine allergy
DOID:0040028,succinylcholine allergy,drug allergy,sux allergy
DOID:0040028,succinylcholine allergy,drug allergy,suxamethonium allergy
DOID:0040029,trimethoprim allergy,drug allergy,Primsol allergy
DOID:0040029,trimethoprim allergy,drug allergy,TMP allergy
DOID:0040029,trimethoprim allergy,drug allergy,proloprim allergy
DOID:0040030,cefixime allergy,cephalosporin allergy,
DOID:0040031,diclofenac allergy,drug allergy,Voltaren allergy
DOID:0040032,carbapenem allergy,drug allergy,
DOID:0040033,piperacillin allergy,beta-lactam allergy,
DOID:0040034,rocuronium allergy,drug allergy,Esmeron allergy
DOID:0040034,rocuronium allergy,drug allergy,Zemuron allergy
DOID:0040035,sulfasalazine allergy,drug allergy,
DOID:0040036,tubocurarine allergy,drug allergy,DTC allergy
DOID:0040037,aztreonam allergy,beta-lactam allergy,Azactam allergy
DOID:0040037,aztreonam allergy,beta-lactam allergy,Primbactam allergy
DOID:0040038,meropenem allergy,allergic asthma,Merrem allergy
DOID:9415,allergic asthma,respiratory allergy,extrinsic asthma with acute exacerbation
DOID:9415,allergic asthma,respiratory allergy,extrinsic asthma with status asthmaticus
DOID:9415,allergic asthma,extrinsic asthma,extrinsic asthma with acute exacerbation
DOID:9415,allergic asthma,extrinsic asthma,extrinsic asthma with status asthmaticus
DOID:0040040,hexamethylene diisocyanate allergic asthma,isocyanates allergic asthma,allergic asthma to HDI
DOID:0040040,hexamethylene diisocyanate allergic asthma,isocyanates allergic asthma,allergic asthma to HMDI
DOID:0040041,isocyanates allergic asthma,allergic asthma,
DOID:0040042,"diphenylmethane-4,4'-diisocyanate allergic asthma",isocyanates allergic asthma,allergic asthma to MDI
DOID:0040043,toluene meta-diisocyanate allergic asthma,isocyanates allergic asthma,allergic asthma to TDI
DOID:0040044,methyl isocyanate allergic asthma,isocyanates allergic asthma,allergic asthma to MIC
DOID:0040045,nickel allergic asthma,allergic asthma,allergic asthma to Ni
DOID:0040045,nickel allergic asthma,metal allergy,allergic asthma to Ni
DOID:0060501,metal allergy,allergic disease,
DOID:0040046,nickel allergic contact dermatitis,metal allergy,allergic contact dermatitis to Ni
DOID:0040046,nickel allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to Ni
DOID:3042,allergic contact dermatitis,allergic disease,
DOID:3042,allergic contact dermatitis,contact dermatitis,
DOID:0040047,trimellitic anhydride allergic asthma,allergic asthma,allergic asthma to TMA
DOID:0040048,phthalic anhydride allergic asthma,allergic asthma,
DOID:0040049,maleic anhydride allergic asthma,allergic asthma,allergic asthma to MA
DOID:0040050,tetrachlorophthalic anhydride allergic asthma,allergic asthma,
DOID:0040051,hexahydrophthalic anhydride allergic asthma,allergic asthma,allergic asthma to HHPA
DOID:0040052,"diphenylmethane-4,4'-diisocyanate allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to MDI
DOID:0040053,cobalt allergic contact dermatitis,metal allergy,allergic contact dermatitis to Co
DOID:0040053,cobalt allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to Co
DOID:0040054,cobalt allergic asthma,allergic asthma,Co allergic asthma
DOID:0040054,cobalt allergic asthma,metal allergy,Co allergic asthma
DOID:0040055,palladium allergic contact dermatitis,metal allergy,allergic contact dermatitis to Pd
DOID:0040055,palladium allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to Pd
DOID:0040056,chromium allergic contact dermatitis,metal allergy,
DOID:0040056,chromium allergic contact dermatitis,allergic contact dermatitis,
DOID:0040057,benzoic acid allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to benzoate
DOID:0040058,"1,4-phenylenediamine allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to PPD
DOID:0040058,"1,4-phenylenediamine allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to p-phenylenediamine
DOID:0040059,potassium dichromate allergic contact dermatitis,metal allergy,
DOID:0040059,potassium dichromate allergic contact dermatitis,allergic contact dermatitis,
DOID:0040060,ketoprofen photoallergic dermatitis,drug allergy,photoallergic dermatitis to Orudis
DOID:0040060,ketoprofen photoallergic dermatitis,photoallergic dermatitis,photoallergic dermatitis to Orudis
DOID:3818,photoallergic dermatitis,allergic contact dermatitis,Photoallergic contact dermatitis
DOID:3818,photoallergic dermatitis,allergic contact dermatitis,Photoallergic eczema
DOID:0040061,remazole black respiratory allergy,metal allergy,respiratory allergy to Reactive Black 5
DOID:0040061,remazole black respiratory allergy,respiratory allergy,respiratory allergy to Reactive Black 5
DOID:0060496,respiratory allergy,allergic disease,airway allergy
DOID:0040062,chloramine T respiratory allergy,metal allergy,respiratory allergy to Chloraseptin
DOID:0040062,chloramine T respiratory allergy,metal allergy,respiratory allergy to Chlorazol
DOID:0040062,chloramine T respiratory allergy,metal allergy,respiratory allergy to Trichlorol
DOID:0040062,chloramine T respiratory allergy,respiratory allergy,respiratory allergy to Chloraseptin
DOID:0040062,chloramine T respiratory allergy,respiratory allergy,respiratory allergy to Chlorazol
DOID:0040062,chloramine T respiratory allergy,respiratory allergy,respiratory allergy to Trichlorol
DOID:0040063,4-vinylcyclohexene dioxide respiratory allergy,respiratory allergy,respiratory allergy to vinyl cyclohexene diepoxide
DOID:0040064,carvone allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to levo-carvone
DOID:0040065,quinidine allergy,drug allergy,Kinidin allergy
DOID:0040066,melphalan allergy,drug allergy,Alkeran allergy
DOID:0040067,neomycin sulfate allergic contact dermatitis,drug allergy,allergic contact dermatitis to neomycin sulphate
DOID:0040067,neomycin sulfate allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to neomycin sulphate
DOID:0040068,4-tert-butylphenol allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to PTBP
DOID:0040068,4-tert-butylphenol allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to butylphen
DOID:0040069,"1-chloro-2,4-dinitrobenzene allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to DNCB
DOID:0040069,"1-chloro-2,4-dinitrobenzene allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to dinitrochlorobenzene
DOID:0040070,co-trimoxazole allergy,drug allergy,Bactrim allergy
DOID:0040070,co-trimoxazole allergy,drug allergy,TMP/SMX allergy
DOID:0040070,co-trimoxazole allergy,drug allergy,cotrimoxazol allergy
DOID:0040070,co-trimoxazole allergy,drug allergy,trimethoprim/sulfamethoxazole allergy
DOID:0040071,sodium aurothiomalate allergy,drug allergy,gold sodium thiomalate allergy
DOID:0040072,parthenolide allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to feverfew
DOID:0040073,disodium cromoglycate allergy,drug allergy,DSCG allergy
DOID:0040073,disodium cromoglycate allergy,metal allergy,DSCG allergy
DOID:0040074,formaldehyde allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to formalin
DOID:0040075,benzo[d]isothiazol-3-one allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to BIT
DOID:0040075,benzo[d]isothiazol-3-one allergic contact dermatitis,allergic contact dermatitis,allergic contact dermatitis to benzisothiazolone
DOID:0040076,phthalyl group allergy,drug allergy,phthalyl allergy
DOID:0040077,alcuronium bromide allergy,drug allergy,
DOID:0040078,gallamine allergy,drug allergy,
DOID:0040079,"2,4-dinitrophenyl allergic contact dermatitis",allergic contact dermatitis,allergic contact dermatitis to DNP
DOID:0040080,patent blue V allergy,drug allergy,
DOID:0040081,acid anhydride respiratory allergy,respiratory allergy,
DOID:0040082,oxirane allergy,drug allergy,ETO allergy
DOID:0040082,oxirane allergy,drug allergy,ethylene oxide allergy
DOID:0040083,Chlamydia pneumonia,bacterial pneumonia,
DOID:874,bacterial pneumonia,bacterial infectious disease,Pneumonia due to other gram-negative bacteria
DOID:874,bacterial pneumonia,bacterial infectious disease,gram-negative pneumonia
DOID:874,bacterial pneumonia,pneumonia,Pneumonia due to other gram-negative bacteria
DOID:874,bacterial pneumonia,pneumonia,gram-negative pneumonia
DOID:0040084,Streptococcus pneumonia,bacterial pneumonia,
DOID:0040085,bacterial sepsis,bacterial infectious disease,
DOID:104,bacterial infectious disease,disease by infectious agent,
DOID:0040086,Polyomavirus-associated nephropathy,Hantavirus hemorrhagic fever with renal syndrome,PVAN
DOID:0040086,Polyomavirus-associated nephropathy,Hantavirus hemorrhagic fever with renal syndrome,polyomavirus associated nephropathy
DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,viral infectious disease,HFRS
DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,viral infectious disease,"Hemorrhagic fever, Russian"
DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,viral infectious disease,Hemorrhagic nephrosonephritis
DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,viral infectious disease,Puumala virus nephropathy
DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,kidney disease,HFRS
DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,kidney disease,"Hemorrhagic fever, Russian"
DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,kidney disease,Hemorrhagic nephrosonephritis
DOID:11266,Hantavirus hemorrhagic fever with renal syndrome,kidney disease,Puumala virus nephropathy
DOID:0040087,autoimmune peripheral neuropathy,autoimmune disease of peripheral nervous system,
DOID:0060033,autoimmune disease of peripheral nervous system,autoimmune disease of the nervous system,
DOID:0060033,autoimmune disease of peripheral nervous system,peripheral nervous system disease,
DOID:0040088,autoimmune uveitis,"autoimmune disease of eyes, ear, nose and throat",
DOID:0040088,autoimmune uveitis,uveal disease,
DOID:0060030,"autoimmune disease of eyes, ear, nose and throat",sensory system disease,
DOID:0060030,"autoimmune disease of eyes, ear, nose and throat",autoimmune disease of the nervous system,
DOID:3480,uveal disease,eye disease,
DOID:0040089,autoimmune optic neuritis,autoimmune disease of peripheral nervous system,
DOID:0040090,autoimmune gastritis,autoimmune disease of gastrointestinal tract,
DOID:0040090,autoimmune gastritis,stomach disease,
DOID:0060031,autoimmune disease of gastrointestinal tract,gastrointestinal system disease,
DOID:0060031,autoimmune disease of gastrointestinal tract,autoimmune disease,
DOID:76,stomach disease,gastrointestinal system disease,Gastropathy
DOID:76,stomach disease,gastrointestinal system disease,stomach disorder
DOID:0040091,autoimmune pancreatitis,autoimmune disease of endocrine system,
DOID:0040091,autoimmune pancreatitis,pancreas disease,
DOID:0060005,autoimmune disease of endocrine system,autoimmune disease,
DOID:0060005,autoimmune disease of endocrine system,endocrine system disease,
DOID:26,pancreas disease,endocrine system disease,
DOID:0040092,juvenile ankylosing spondylitis,autoimmune disease of musculoskeletal system,
DOID:0060032,autoimmune disease of musculoskeletal system,autoimmune disease,
DOID:0060032,autoimmune disease of musculoskeletal system,musculoskeletal system disease,
DOID:0040093,drug-induced lupus erythematosus,lupus erythematosus,DIL
DOID:0040093,drug-induced lupus erythematosus,lupus erythematosus,DILE
DOID:8857,lupus erythematosus,autoimmune disease of musculoskeletal system,lupus
DOID:0040094,autoimmune glomerulonephritis,autoimmune disease of urogenital tract,
DOID:0060049,autoimmune disease of urogenital tract,autoimmune disease,
DOID:0040095,autoimmune cardiomyopathy,autoimmune disease of cardiovascular system,
DOID:0040095,autoimmune cardiomyopathy,heart disease,
DOID:0060051,autoimmune disease of cardiovascular system,cardiovascular system disease,
DOID:0060051,autoimmune disease of cardiovascular system,autoimmune disease,
DOID:114,heart disease,cardiovascular system disease,
DOID:0040096,autoimmune atherosclerosis,autoimmune disease of cardiovascular system,
DOID:0040097,autoimmune vasculitis,autoimmune disease of cardiovascular system,
DOID:0040098,pemphigus gestationis,pemphigus,
DOID:9182,pemphigus,autoimmune disease of skin and connective tissue,
DOID:9182,pemphigus,bullous skin disease,
DOID:0040099,livedoid vasculitis,vasculitis,livedoid vasculopathy
DOID:865,vasculitis,vascular disease,Angiitis
DOID:0040100,Hirata disease,autoimmune disease of endocrine system,insulin autoimmune syndrome
DOID:0040101,"N,N'-diphenylthiourea allergic contact dermatitis",allergic contact dermatitis,neoprene allergy
DOID:0040102,"N,N'-diethylthiourea allergic contact dermatitis",allergic contact dermatitis,neoprene allergy
DOID:0040103,cefotiam allergy,cephalosporin allergy,
DOID:0040104,"toluene 2,4-diisocyanate allergic asthma",toluene meta-diisocyanate allergic asthma,
DOID:0050004,seminal vesicle acute gonorrhea,gonococcal seminal vesiculitis,
DOID:10400,gonococcal seminal vesiculitis,gonorrhea,Gonorrhea of seminal vesicle
DOID:10400,gonococcal seminal vesiculitis,vesiculitis,Gonorrhea of seminal vesicle
DOID:0050012,chikungunya,viral infectious disease,Chikungunya fever
DOID:934,viral infectious disease,disease by infectious agent,Viral Infection
DOID:934,viral infectious disease,disease by infectious agent,Viral disease
DOID:934,viral infectious disease,disease by infectious agent,virus infection
DOID:0050025,human granulocytic anaplasmosis,ehrlichiosis,human granulocytic ehrlichiosis
DOID:10242,ehrlichiosis,primary bacterial infectious disease,human ehrlichiosis
DOID:0050026,human monocytic ehrlichiosis,ehrlichiosis,
DOID:0050032,mineral metabolism disease,acquired metabolic disease,
DOID:0060158,acquired metabolic disease,disease of metabolism,
DOID:0050035,African tick-bite fever,spotted fever,Rickettsia africae spotted fever
DOID:0050035,African tick-bite fever,spotted fever,south african tick-bite fever
DOID:11104,spotted fever,primary bacterial infectious disease,Spotted fever group rickettsial disease
DOID:0050041,Astrakhan spotted fever,spotted fever,
DOID:0050042,Indian tick typhus,spotted fever,
DOID:0050043,Israeli tick typhus,spotted fever,
DOID:0050046,Far Eastern spotted fever,spotted fever,Rickettsia heilongjiangensis spotted fever
DOID:0050047,Flinders Island spotted fever,spotted fever,Thai tick typhus
DOID:0050050,Japanese spotted fever,spotted fever,Rickettsia japonica spotted fever
DOID:0050050,Japanese spotted fever,spotted fever,oriental spotted fever
DOID:0050051,Rickettsia parkeri spotted fever,spotted fever,maculatum infection
DOID:0050052,Rocky Mountain spotted fever,spotted fever,Tick typhus
DOID:0050059,oropharyngeal anthrax,gastrointestinal anthrax,
DOID:13386,gastrointestinal anthrax,anthrax disease,
DOID:13386,gastrointestinal anthrax,gastrointestinal system disease,
DOID:0050061,erysipeloid,primary bacterial infectious disease,
DOID:0050338,primary bacterial infectious disease,bacterial infectious disease,
DOID:0050072,adiaspiromycosis,primary systemic mycosis,
DOID:0050292,primary systemic mycosis,systemic mycosis,
DOID:0050073,invasive aspergillosis,aspergillosis,
DOID:0050073,invasive aspergillosis,lung disease,
DOID:13564,aspergillosis,opportunistic mycosis,Infection due to Aspergillus
DOID:850,lung disease,lower respiratory tract disease,
DOID:552,pneumonia,lung disease,acute pneumonia
DOID:0050083,Keshan disease,nutritional deficiency disease,
DOID:5113,nutritional deficiency disease,nutrition disease,
DOID:0050096,tinea barbae,skin disease,dermatophytosis of beard
DOID:0050096,tinea barbae,dermatophytosis,dermatophytosis of beard
DOID:37,skin disease,integumentary system disease,Genodermatosis
DOID:37,skin disease,integumentary system disease,skin and subcutaneous tissue disease
DOID:8913,dermatophytosis,cutaneous mycosis,
DOID:0050097,ectothrix infectious disease,hair disease,
DOID:0050097,ectothrix infectious disease,tinea capitis,
DOID:421,hair disease,integumentary system disease,
DOID:4337,tinea capitis,dermatophytosis,Scalp ringworm
DOID:4337,tinea capitis,dermatophytosis,Trichophyton rubrum tinea capitis
DOID:4337,tinea capitis,dermatophytosis,dermatophytosis of scalp or beard
DOID:4337,tinea capitis,dermatophytosis,tinea capitis due to Trichophyton rubrum
DOID:0050105,endothrix infectious disease,hair disease,
DOID:0050105,endothrix infectious disease,tinea capitis,
DOID:0050116,tinea imbricata,tinea corporis,
DOID:12179,tinea corporis,skin disease,Dermatophytosis of the trunk
DOID:12179,tinea corporis,skin disease,dermatophytosis of the body
DOID:12179,tinea corporis,dermatophytosis,Dermatophytosis of the trunk
DOID:12179,tinea corporis,dermatophytosis,dermatophytosis of the body
DOID:0050117,disease by infectious agent,disease,infectious disease
DOID:0050118,La Crosse encephalitis,viral infectious disease,California Encephalitis
DOID:0050118,La Crosse encephalitis,viral infectious disease,California virus encephalitis
DOID:0050118,La Crosse encephalitis,viral infectious disease,Neuroinvasive California encephalitis virus infection
DOID:0050118,La Crosse encephalitis,brain disease,California Encephalitis
DOID:0050118,La Crosse encephalitis,brain disease,California virus encephalitis
DOID:0050118,La Crosse encephalitis,brain disease,Neuroinvasive California encephalitis virus infection
DOID:936,brain disease,central nervous system disease,encephalopathy
DOID:0050120,hemophagocytic lymphohistiocytosis,lymphatic system disease,haemophagocytic syndrome
DOID:75,lymphatic system disease,immune system disease,Lymphangiopathy
DOID:75,lymphatic system disease,immune system disease,Lymphatic disease
DOID:75,lymphatic system disease,immune system disease,disease of lympoid system
DOID:75,lymphatic system disease,immune system disease,disorder of lymph node and lymphatics
DOID:75,lymphatic system disease,immune system disease,disorder of lymphatic system
DOID:75,lymphatic system disease,immune system disease,disorder of lymphoid system
DOID:75,lymphatic system disease,immune system disease,lymphatic disorder
DOID:75,lymphatic system disease,immune system disease,lympoid system disease
DOID:0050125,dengue shock syndrome,dengue disease,DSS
DOID:12205,dengue disease,viral infectious disease,Dengue Fever
DOID:12205,dengue disease,viral infectious disease,breakbone fever
DOID:12205,dengue disease,viral infectious disease,classic dengue
DOID:0050127,sinusitis,paranasal sinus disease,
DOID:1352,paranasal sinus disease,nose disease,disorder of nasal sinus
DOID:0050129,secretory diarrhea,diarrhea,
DOID:13250,diarrhea,gastrointestinal system disease,
DOID:0050130,osmotic diarrhea,diarrhea,
DOID:0050131,motility-related diarrhea,diarrhea,
DOID:0050132,inflammatory diarrhea,diarrhea,
DOID:0050133,superficial mycosis,fungal infectious disease,Steroid-modified tinea infection
DOID:0050133,superficial mycosis,fungal infectious disease,piedra
DOID:1564,fungal infectious disease,disease by infectious agent,mycosis
DOID:0050134,cutaneous mycosis,fungal infectious disease,
DOID:0050135,subcutaneous mycosis,fungal infectious disease,
DOID:0050136,systemic mycosis,fungal infectious disease,
DOID:0050138,podoconiosis,elephantiasis,
DOID:4976,elephantiasis,lymphedema,
DOID:0050140,acute diarrhea,diarrhea,
DOID:0050141,intestinal botulism,botulism,
DOID:11976,botulism,primary bacterial infectious disease,Botulism poisoning
DOID:11976,botulism,primary bacterial infectious disease,Food poisoning due to Clostridium botulinum
DOID:11976,botulism,primary bacterial infectious disease,Foodborne botulism
DOID:11976,botulism,primary bacterial infectious disease,Infection due to clostridium botulinum
DOID:11976,botulism,primary bacterial infectious disease,Intoxication with Clostridium botulinum toxin
DOID:0050143,asymptomatic dengue,dengue disease,
DOID:0050144,Kartagener syndrome,primary ciliary dyskinesia,Kartagener's syndrome
DOID:9562,primary ciliary dyskinesia,ciliopathy,ciliary motility disorder
DOID:9562,primary ciliary dyskinesia,ciliopathy,immotile ciliary syndrome
DOID:0050145,adenoiditis,upper respiratory tract disease,chronic adenoiditis
DOID:974,upper respiratory tract disease,respiratory system disease,
DOID:0050147,otomycosis,otitis externa,Singapore ear
DOID:9463,otitis externa,external ear disease,swimmer's ear
DOID:0050148,laryngotracheitis,upper respiratory tract disease,
DOID:0050150,Pontiac fever,legionellosis,
DOID:10458,legionellosis,primary bacterial infectious disease,Legionella infection
DOID:0050152,aspiration pneumonia,bacterial pneumonia,
DOID:0050153,pulmonary aspergilloma,aspergillosis,
DOID:0050153,pulmonary aspergilloma,lung disease,
DOID:0050155,sensory system disease,nervous system disease,
DOID:863,nervous system disease,disease of anatomical entity,
DOID:0050156,idiopathic pulmonary fibrosis,pulmonary fibrosis,FIBROCYSTIC PULMONARY DYSPLASIA
DOID:0050156,idiopathic pulmonary fibrosis,pulmonary fibrosis,"IDIOPATHIC PULMONARY FIBROSIS, FAMILIAL"
DOID:0050156,idiopathic pulmonary fibrosis,pulmonary fibrosis,cryptogenic fibrosing alveolitis
DOID:3770,pulmonary fibrosis,interstitial lung disease,Fibrosis of lung
DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,BOOP
DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,Cryptogenic organising pneumonitis
DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,Cryptogenic organizing pneumonitis
DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,bronchiolitis obliterans organising pneumonia
DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,bronchiolitis obliterans organizing pneumonia
DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,cryptogenic organising pneumonia
DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,idiopathic bronchiolitis obliterans with organising pneumonia
DOID:0050157,cryptogenic organizing pneumonia,idiopathic interstitial pneumonia,idiopathic bronchiolitis obliterans with organizing pneumonia
DOID:2797,idiopathic interstitial pneumonia,pneumonia,Diffuse idiopathic pulmonary fibrosis
DOID:2797,idiopathic interstitial pneumonia,pneumonia,Idiopathic fibrosing alveolitis
DOID:0050158,desquamative interstitial pneumonia,idiopathic interstitial pneumonia,RBILD
DOID:0050158,desquamative interstitial pneumonia,idiopathic interstitial pneumonia,familial desquamative interstitial pneumonitis
DOID:0050158,desquamative interstitial pneumonia,idiopathic interstitial pneumonia,respiratory bronchiolitis-associated interstitial lung disease
DOID:0050159,lymphoid interstitial pneumonia,idiopathic interstitial pneumonia,
DOID:0050160,inhalation anthrax,anthrax disease,pulmonary anthrax
DOID:0050160,inhalation anthrax,anthrax disease,respiratory anthrax
DOID:0050160,inhalation anthrax,anthrax disease,wool-sorters' disease
DOID:0050160,inhalation anthrax,anthrax disease,woolsorters' disease
DOID:7427,anthrax disease,primary bacterial infectious disease,
DOID:0050161,lower respiratory tract disease,respiratory system disease,
DOID:1579,respiratory system disease,disease of anatomical entity,
DOID:0050166,tuberculous salpingitis,fallopian tube disease,
DOID:0050166,tuberculous salpingitis,urogenital tuberculosis,
DOID:1962,fallopian tube disease,female reproductive system disease,
DOID:2149,urogenital tuberculosis,extrapulmonary tuberculosis,
DOID:0050167,autoimmune polyendocrine syndrome type 1,autoimmune polyendocrine syndrome,Autoimmune Polyglandular Syndrome I
DOID:0050167,autoimmune polyendocrine syndrome type 1,autoimmune polyendocrine syndrome,Whitaker syndrome
