,ID,TEXT
52,3,"Prostate is a male sex-accessory organ. The prostatic epithelia consist primarily of basal and luminal cells that differentiate from embryonic urogenital sinus epithelia. Prostate tumors are believed to originate in the basal and luminal cells. However, factors that promote normal epithelial differentiation have not been well elucidated, particularly for bone morphogenetic protein (Bmp) signaling. This study shows that Bmp signaling prominently increases during prostatic differentiation in the luminal epithelia, which is monitored by the expression of phosphorylated Smad1/5/8. To elucidate the mechanism of epithelial differentiation and the function of Bmp signaling during prostatic development, conditional male mutant mouse analysis for the epithelial-specific Bmp receptor 1a (Bmpr1a) was performed. We demonstrate that Bmp signaling is indispensable for luminal cell maturation, which regulates basal cell proliferation. Expression of the prostatic epithelial regulatory gene Nkx3.1 was significantly reduced in the Bmpr1a mutants. These results indicate that Bmp signaling is a key factor for prostatic epithelial differentiation, possibly by controlling the prostatic regulatory gene Nkx3.1."
53,3,bone morphogenetic protein
54,3,Bmp
55,3,Bmp
56,3,Smad1/5/8
57,3,Bmp
58,3,Bmp receptor 1a
59,3,Bmpr1a
60,3,Bmp
61,3,Nkx3.1
62,3,Bmpr1a
63,3,Bmp
64,3,Nkx3.1
65,4,Crucial role of calbindin-D28k in the pathogenesis of Alzheimer's disease mouse model.
66,4,"Calbindin-D28k (CB), one of the major calcium-binding and buffering proteins, has a critical role in preventing a neuronal death as well as maintaining calcium homeostasis. Although marked reductions of CB expression have been observed in the brains of mice and humans with Alzheimer disease (AD), it is unknown whether these changes contribute to AD-related dysfunction. To determine the pathogenic importance of CB depletions in AD models, we crossed 5 familial AD mutations (5XFAD; Tg) mice with CB knock-out (CBKO) mice and generated a novel line CBKO·5XFAD (CBKOTg) mice. We first identified the change of signaling pathways and differentially expressed proteins globally by removing CB in Tg mice using mass spectrometry and antibody microarray. Immunohistochemistry showed that CBKOTg mice had significant neuronal loss in the subiculum area without changing the magnitude (number) of amyloid β-peptide (Aβ) plaques deposition and elicited significant apoptotic features and mitochondrial dysfunction compared with Tg mice. Moreover, CBKOTg mice reduced levels of phosphorylated mitogen-activated protein kinase (extracellular signal-regulated kinase) 1/2 and cAMP response element-binding protein at Ser-133 and synaptic molecules such as N-methyl-D-aspartate receptor 1 (NMDA receptor 1), NMDA receptor 2A, PSD-95 and synaptophysin in the subiculum compared with Tg mice. Importantly, this is the first experimental evidence that removal of CB from amyloid precursor protein/presenilin transgenic mice aggravates AD pathogenesis, suggesting that CB has a critical role in AD pathogenesis."
67,4,Calbindin-D28k
68,4,CB
69,4,CB
70,4,amyloid β-peptide
71,4,Aβ
72,4,mitogen-activated protein kinase
73,4,extracellular signal-regulated kinase) 1/2
74,4,N-methyl-D-aspartate receptor 1
75,4,NMDA receptor 1
76,4,NMDA receptor 2A
77,4,PSD-95
78,4,synaptophysin
79,4,amyloid precursor protein
80,4,presenilin
81,5,Seed dormancy cycling in Arabidopsis: chromatin remodelling and regulation of DOG1 in response to seasonal environmental signals.
82,5,DOG1
83,5,"The involvement of chromatin remodelling in dormancy cycling in the soil seed bank (SSB) is poorly understood. Natural variation between the winter and summer annual Arabidopsis ecotypes Cvi and Bur was exploited to investigate the expression of genes involved in chromatin remodelling via histone 2B (H2B) ubiquitination/de-ubiquitination and histone acetylation/deacetylation, the repressive histone methyl transferases CURLY LEAF (CLF) and SWINGER (SWN), and the gene silencing repressor ROS1 (REPRESSOR OF SILENCING1) and promoter of silencing KYP/SUVH4 (KRYPTONITE), during dormancy cycling in the SSB. ROS1 expression was positively correlated with dormancy while the reverse was observed for CLF and KYP/SUVH4. We propose ROS1 dependent repression of silencing and a sequential requirement of CLF and KYP/SUVH4 dependent gene repression and silencing for the maintenance and suppression of dormancy during dormancy cycling. Seasonal expression of H2B modifying genes was correlated negatively with temperature and positively with DOG1 expression, as were histone acetyltransferase genes, with histone deacetylases positively correlated with temperature. Changes in the histone marks H3K4me3 and H3K27me3 were seen on DOG1 (DELAY OF GERMINATION1) in Cvi during dormancy cycling. H3K4me3 activating marks remained stable along DOG1. During relief of dormancy, H3K27me3 repressive marks slowly accumulated and accelerated on exposure to light completing dormancy loss. We propose that these marks on DOG1 serve as a thermal sensing mechanism during dormancy cycling in preparation for light repression of dormancy. Overall, chromatin remodelling plays a vital role in temporal sensing through regulation of gene expression."
84,5,histone 2B
85,5,H2B
86,5,histone methyl transferases
87,5,CURLY LEAF
88,5,CLF
89,5,SWINGER
90,5,SWN
91,5,ROS1
92,5,REPRESSOR OF SILENCING1
93,5,KYP
94,5,SUVH4
95,5,KRYPTONITE
96,5,ROS1
97,5,CLF
98,5,KYP
99,5,SUVH4
100,5,ROS1
101,5,CLF
102,5,KYP
103,5,SUVH4
104,5,H2B
105,5,DOG1
106,5,histone acetyltransferase
107,5,histone deacetylases
108,5,histone
109,5,H3
110,5,H3
111,5,DOG1
112,5,DELAY OF GERMINATION1
113,5,H3
114,5,DOG1
115,5,H3
116,5,DOG1
117,6,Multipotent caudal neural progenitors derived from human pluripotent stem cells that give rise to lineages of the central and peripheral nervous system.
118,6,"The caudal neural plate is a distinct region of the embryo that gives rise to major progenitor lineages of the developing central and peripheral nervous system, including neural crest and floor plate cells. We show that dual inhibition of the glycogen synthase kinase 3β and activin/nodal pathways by small molecules differentiate human pluripotent stem cells (hPSCs) directly into a preneuroepithelial progenitor population we named ""caudal neural progenitors"" (CNPs). CNPs coexpress caudal neural plate and mesoderm markers, and, share high similarities to embryonic caudal neural plate cells in their lineage differentiation potential. Exposure of CNPs to BMP2/4, sonic hedgehog, or FGF2 signaling efficiently directs their fate to neural crest/roof plate cells, floor plate cells, and caudally specified neuroepithelial cells, respectively. Neural crest derived from CNPs differentiated to neural crest derivatives and demonstrated extensive migratory properties in vivo. Importantly, we also determined the key extrinsic factors specifying CNPs from human embryonic stem cell include FGF8, canonical WNT, and IGF1. Our studies are the first to identify a multipotent neural progenitor derived from hPSCs, that is the precursor for major neural lineages of the embryonic caudal neural tube."
119,6,glycogen synthase kinase 3β
120,6,activin
121,6,nodal
122,6,BMP2/4
123,6,FGF2
124,6,FGF8
125,6,WNT
126,6,IGF1
127,7,A Transcriptome-Led Exploration of Molecular Mechanisms Regulating Somatostatin-Producing D-Cells in the Gastric Epithelium.
128,7,Somatostatin
129,7,"The stomach epithelium contains a myriad of enteroendocrine cells that modulate a range of physiological functions, including postprandial secretion of regulatory peptides, gastric motility, and nutrient absorption. Somatostatin (SST)-producing D-cells are present in the oxyntic and pyloric regions of the stomach, and provide a tonic inhibitory tone that regulates activity of neighboring enteroendocrine cells and gastric acid secretion. Cellular mechanisms underlying the effects of regulatory factors on gastric D-cells are poorly defined due to problems in identifying primary D-cells, and uncertainty remains about which stimuli influence D-cells directly. In this study, we introduce a transgenic mouse line, SST-Cre, which upon crossing with Cre reporter strains, facilitates the identification and purification of gastric D-cells, or cell-specific expression of genetically encoded calcium indicators. Populations of D-cells from the gastric antrum and corpus were isolated and analyzed by RNA sequencing and quantitative RT-PCR. The expression of hormones, hormone receptors, neurotransmitter receptors, and nutrient receptors was quantified. Pyy, Gipr, Chrm4, Calcrl, Taar1, and Casr were identified as genes that are highly enriched in D-cells compared with SST-negative cells. Hormone secretion assays performed in mixed gastric epithelial cultures confirmed that SST secretion is regulated by incretin hormones, cholecystokinin, acetylcholine, vasoactive intestinal polypeptide, calcitonin gene-related polypeptide, oligopetides, and trace amines. Cholecystokinin and oligopeptides elicited increases in intracellular calcium in single-cell imaging experiments performed using cultured D-cells. Our data provide the first transcriptomic analysis and functional characterization of gastric D-cells, and identify regulatory pathways that underlie the direct detection of stimuli by this cell type."
130,7,Somatostatin
131,7,SST
132,7,SST
133,7,Pyy
134,7,Gipr
135,7,Chrm4
136,7,Calcrl
137,7,Taar1
138,7,Casr
139,7,SST
140,7,SST
141,7,incretin hormones
142,7,cholecystokinin
143,7,vasoactive intestinal polypeptide
144,7,calcitonin gene-related polypeptide
145,7,Cholecystokinin
146,8,Leptin Matures Aspects of Lung Structure and Function in the Ovine Fetus.
147,8,Leptin
148,8,"In human and ovine fetuses, glucocorticoids stimulate leptin secretion, although the extent to which leptin mediates the maturational effects of glucocorticoids on pulmonary development is unclear. This study investigated the effects of leptin administration on indices of lung structure and function before birth. Chronically catheterized singleton sheep fetuses were infused iv for 5 days with either saline or recombinant ovine leptin (0.5 mg/kg · d leptin (LEP), 0.5 LEP or 1.0 mg/kg · d, 1.0 LEP) from 125 days of gestation (term ∼145 d). Over the infusion, leptin administration increased plasma leptin, but not cortisol, concentrations. On the fifth day of infusion, 0.5 LEP reduced alveolar wall thickness and increased the volume at closing pressure of the pressure-volume deflation curve, interalveolar septal elastin content, secondary septal crest density, and the mRNA abundance of the leptin receptor (Ob-R) and surfactant protein (SP) B. Neither treatment influenced static lung compliance, maximal lung volume at 40 cmH2O, lung compartment volumes, alveolar surface area, pulmonary glycogen, protein content of the long form signaling Ob-Rb or phosphorylated signal transducers and activators of transcription-3, or mRNA levels of SP-A, C, or D, elastin, vascular endothelial growth factor-A, the vascular endothelial growth factor receptor 2, angiotensin-converting enzyme, peroxisome proliferator-activated receptor γ, or parathyroid hormone-related peptide. Leptin administration in the ovine fetus during late gestation promotes aspects of lung maturation, including up-regulation of SP-B."
149,8,leptin
150,8,leptin
151,8,leptin
152,8,leptin
153,8,leptin
154,8,LEP
155,8,LEP
156,8,LEP
157,8,leptin
158,8,leptin
159,8,LEP
160,8,elastin
161,8,leptin receptor
162,8,Ob-R
163,8,surfactant protein (SP) B
164,8,long form signaling Ob-Rb
165,8,signal transducers and activators of transcription-3
166,8,"SP-A, C, or D"
167,8,elastin
168,8,vascular endothelial growth factor-A
169,8,vascular endothelial growth factor receptor 2
170,8,angiotensin-converting enzyme
171,8,peroxisome proliferator-activated receptor γ
172,8,parathyroid hormone-related peptide
173,8,Leptin
174,8,SP-B
175,9,DNA-damage response gene GADD45A induces differentiation in hematopoietic stem cells without inhibiting cell cycle or survival.
176,9,GADD45A
177,9,"Hematopoietic stem cells (HSCs) maintain blood cell production life-long by their unique abilities of self-renewal and differentiation into all blood cell lineages. Growth arrest and DNA-damage-inducible 45 alpha (GADD45A) is induced by genotoxic stress in HSCs. GADD45A has been implicated in cell cycle control, cell death and senescence, as well as in DNA-damage repair. In general, GADD45A provides cellular stability by either arresting the cell cycle progression until DNA damage is repaired or, in cases of fatal damage, by inducing apoptosis. However, the function of GADD45A in hematopoiesis remains controversial. We revealed the changes in murine HSC fate control orchestrated by the expression of GADD45A at single cell resolution. In contrast to other cellular systems, GADD45A expression did not cause a cell cycle arrest or an alteration in the decision between cell survival and apoptosis in HSCs. Strikingly, GADD45A strongly induced and accelerated the differentiation program in HSCs. Continuous tracking of individual HSCs and their progeny via time-lapse microscopy elucidated that once GADD45A was expressed, HSCs differentiate into committed progenitors within 29 hours. GADD45A-expressing HSCs failed to long-term reconstitute the blood of recipients by inducing multilineage differentiation in vivo. Importantly, γ-irradiation of HSCs induced their differentiation by upregulating endogenous GADD45A. The differentiation induction by GADD45A was transmitted by activating p38 Mitogen-activated protein kinase (MAPK) signaling and allowed the generation of megakaryocytic-erythroid, myeloid, and lymphoid lineages. These data indicate that genotoxic stress-induced GADD45A expression in HSCs prevents their fatal transformation by directing them into differentiation and thereby clearing them from the system."
178,9,Growth arrest and DNA-damage-inducible 45 alpha
179,9,GADD45A
180,9,GADD45A
181,9,GADD45A
182,9,GADD45A
183,9,GADD45A
184,9,GADD45A
185,9,GADD45A
186,9,GADD45A
187,9,GADD45A
188,9,GADD45A
189,9,GADD45A
190,9,p38 Mitogen-activated protein kinase
191,9,MAPK
192,9,GADD45A
193,10,RNA-seq analysis of impact of PNN on gene expression and alternative splicing in corneal epithelial cells.
194,10,PNN
195,10,"PURPOSE: The specialized corneal epithelium requires differentiated properties, specific for its role at the anterior surface of the eye. Thus, tight maintenance of the differentiated qualities of the corneal epithelial is essential. Pinin (PNN) is an exon junction component (EJC) that has dramatic implications for corneal epithelial cell differentiation and may act as a stabilizer of the corneal epithelial cell phenotype. Our studies revealed that PNN is involved in transcriptional repression complexes and spliceosomal complexes, placing PNN at the fulcrum between chromatin and mRNA splicing. Transcriptome analysis of PNN-knockdown cells revealed clear and reproducible alterations in transcript profiles and splicing patterns of a subset of genes that would significantly impact the epithelial cell phenotype. We further investigated PNN's role in the regulation of gene expression and alternative splicing (AS) in a corneal epithelial context. METHODS: Human corneal epithelial (HCET) cells that carry the doxycycline-inducible PNN-knockdown shRNA vector were used to perform RNA-seq to determine differential gene expression and differential AS events. RESULTS: Multiple genes and AS events were identified as differentially expressed between PNN-knockdown and control cells. Genes upregulated by PNN knockdown included a large proportion of genes that are associated with enhanced cell migration and ECM remodeling processes, such as MMPs, ADAMs, HAS2, LAMA3, CXCRs, and UNC5C. Genes downregulated in response to PNN depletion included IGFBP5, FGD3, FGFR2, PAX6, RARG, and SOX10. AS events in PNN-knockdown cells compared to control cells were also more likely to be detected, and upregulated. In particular, 60% of exon-skipping events, detected in only one condition, were detected in PNN-knockdown cells and of the shared exon-skipping events, 92% of those differentially expressed were more frequent in the PNN knockdown. CONCLUSIONS: These data suggest that lowering of PNN levels in epithelial cells results in dramatic transformation in the number and composition of splicing variants and that PNN plays a crucial role in the selection of which RNA isoforms differentiating cells produce. Many of the genes affected by PNN knockdown are known to affect the epithelial phenotype. This window into the complexity of RNA splicing in the corneal epithelium implies that PNN exerts broad influence over the regulation and maintenance of the epithelial cell phenotype."
196,10,Pinin
197,10,PNN
198,10,PNN
199,10,PNN
200,10,PNN
201,10,PNN
202,10,PNN
203,10,PNN
204,10,PNN
205,10,MMPs
206,10,ADAMs
207,10,HAS2
208,10,LAMA3
209,10,CXCR
210,10,UNC5C
211,10,PNN
212,10,IGFBP5
213,10,FGD3
214,10,FGFR2
215,10,PAX6
216,10,RARG
217,10,SOX10
218,10,PNN
219,10,PNN
220,10,PNN
221,10,PNN
222,10,PNN
223,10,PNN
224,10,PNN
225,11,The Innate Immune Receptor NLRX1 Functions as a Tumor Suppressor by Reducing Colon Tumorigenesis and Key Tumor-Promoting Signals.
226,11,NLRX1
227,11,"NOD-like receptor (NLR) proteins are intracellular innate immune sensors/receptors that regulate immunity. This work shows that NLRX1 serves as a tumor suppressor in colitis-associated cancer (CAC) and sporadic colon cancer by keeping key tumor promoting pathways in check. Nlrx1(-/-) mice were highly susceptible to CAC, showing increases in key cancer-promoting pathways including nuclear factor κB (NF-κB), mitogen-activated protein kinase (MAPK), signal transducer and activator of transcription 3 (STAT3), and interleukin 6 (IL-6). The tumor-suppressive function of NLRX1 originated primarily from the non-hematopoietic compartment. This prompted an analysis of NLRX1 function in the Apc(min/+) genetic model of sporadic gastrointestinal cancer. NLRX1 attenuated Apc(min/+) colon tumorigenesis, cellular proliferation, NF-κB, MAPK, STAT3 activation, and IL-6 levels. Application of anti-interleukin 6 receptor (IL6R) antibody therapy reduced tumor burden, increased survival, and reduced STAT3 activation in Nlrx1(-/-)Apc(min/+) mice. As an important clinical correlate, human colon cancer samples expressed lower levels of NLRX1 than healthy controls in multiple patient cohorts. These data implicate anti-IL6R as a potential personalized therapy for colon cancers with reduced NLRX1."
228,11,NOD-like receptor
229,11,NLR
230,11,NLRX1
231,11,Nlrx1
232,11,nuclear factor κB
233,11,NF-κB
234,11,mitogen-activated protein kinase
235,11,MAPK
236,11,signal transducer and activator of transcription 3
237,11,STAT3
238,11,interleukin 6
239,11,IL-6
240,11,NLRX1
241,11,NLRX1
242,11,Apc
243,11,NLRX1
244,11,Apc
245,11,NF-κB
246,11,MAPK
247,11,STAT3
248,11,IL-6
249,11,interleukin 6 receptor
250,11,IL6R
251,11,STAT3
252,11,Nlrx1
253,11,Apc
254,11,NLRX1
255,11,IL6R
256,11,NLRX1
257,12,"Circulating Fatty Acid Synthase in pregnant women: Relationship to blood pressure, maternal metabolism and newborn parameters."
258,12,Fatty Acid Synthase
259,12,"The enzyme FASN (fatty acid synthase) is potentially related with hypertension and metabolic dysfunction. FASN is highly expressed in the human placenta. We aimed to investigate the relationship circulating FASN has with blood pressure, maternal metabolism and newborn parameters in healthy pregnant women. Circulating FASN was assessed in 115 asymptomatic pregnant women in the second trimester of gestation along with C-peptide, fasting glucose and insulin, post-load glucose lipids, HMW-adiponectin and blood pressure (the latter was assessed in each trimester of gestation). At birth, newborns and placentas were weighed. FASN expression was also able to be assessed in 80 placentas. Higher circulating FASN was associated with lower systolic blood pressure (SBP), with a more favourable metabolic phenotype (lower fasting glucose and insulin, post load glucose, HbAc1, HOMA-IR and C-peptide), and with lower placental and birth weight (all p < 0.05 to p < 0.001). Placental FASN expression related positively to circulating FASN (p < 0.005) and negatively to placental weight (p < 0.05). Our observations suggest a physiological role of placental FASN in human pregnancy. Future studies will clarify whether circulating FASN of placental origin does actually regulate placental and fetal growth, and (thereby) has a favourable influence on the pregnant mother's insulin sensitivity and blood pressure."
260,12,FASN
261,12,fatty acid synthase
262,12,FASN
263,12,FASN
264,12,FASN
265,12,insulin
266,12,adiponectin
267,12,FASN
268,12,FASN
269,12,insulin
270,12,HbAc1
271,12,FASN
272,12,FASN
273,12,FASN
274,12,FASN
275,12,insulin
276,13,Repurposing an orally available drug for the treatment of geographic atrophy.
277,13,"PURPOSE: Chronic oxidative stress and subacute inflammation have been implicated as causes of age-related macular degeneration (AMD). In this study, we tested whether an orally available 5-OH-tryptamine (5HT) 1a receptor agonist, xaliproden, could protect against retinal pigment epithelium (RPE) cell damage in culture and in a mouse model of geographic atrophy. METHODS: Paraquat was used to create mitochondrial oxidative stress in ARPE-19 cells, and tumor necrosis factor-α (TNF-α) was used to stimulate the production of inflammatory cytokines in these cells. The production of antioxidant proteins, metallothionein, and inflammatory cytokines was assayed with quantitative real-time PCR. Cell survival was analyzed with microscopy and a cell titer assay. Integrity of the RPE monolayer was determined by measuring the transepithelial electrical resistance (TEER) and with immunocytochemistry with zona occludens protein 1 (ZO-1) antibody. RPE atrophy was studied in mice deleted for Sod2 (the gene for mitochondrial superoxide dismutase) specifically in the RPE. The mice were treated orally with daily doses of xaliproden at 0.5 and 3 mg/kg for 4 months. The retinal structure was analyzed with spectral domain optical coherence tomography (SD-OCT) and with light and electron microscopy. Retinal function was assessed with full-field electroretinography (ERG) and with optokinetic measurements. RESULTS: Xaliproden led to a dose-dependent increase in cell survival following treatment with paraquat. Synthesis of the antioxidant response genes NqO1, GSTM1, CAT, HO-1, and Nrf2 was increased in response to the drug, as was the zinc chaperone metallothionein. Treatment of cells with TNF-α led to increased production of IL-1β, IL-6, chemokine (C-C motif) ligand 20 (CCL20), and vascular endothelial growth factor (VEGF) by ARPE-19 cells, and this response was attenuated by treatment with xaliproden. TNF-α also led to a decrease in the TEER that was prevented by treatment with the 5HT1a agonist. Daily gavage with xaliproden at either dose induced the production of protective enzymes in the mouse retina, and treatment of the Sod2-deleted mice with the drug showed improved thickness of the outer nuclear layer and improved visual acuity relative to the control-treated mice. There was no significant difference in full-field scotopic ERG among the treatment groups, however. Vacuolization of the RPE and disorganization of the photoreceptor outer segments were reduced at both dose levels of xaliproden. CONCLUSIONS: Xaliproden protected RPE cells from oxidative and inflammatory insults and protected the mouse RPE and retina from RPE atrophy in the face of excess mitochondrial oxidative stress. These results suggest that this drug, which had a reasonable safety profile in clinical trials, may be used to prevent the progression of geographic atrophy in humans."
278,13,5-OH-tryptamine (5HT) 1a receptor
279,13,tumor necrosis factor-a
280,13,TNF-a
281,13,cytokines
282,13,metallothionein
283,13,cytokines
284,13,zona occludens protein 1
285,13,ZO-1
286,13,Sod2
287,13,mitochondrial superoxide dismutase
288,13,NqO1
289,13,GSTM1
290,13,CAT
291,13,HO-1
292,13,Nrf2
293,13,metallothionein
294,13,TNF-a
295,13,IL-1b
296,13,IL-6
297,13,chemokine (C-C motif) ligand 20
298,13,CCL20
299,13,vascular endothelial growth factor
300,13,VEGF
301,13,TNF-a
302,13,5HT1a
303,13,Sod2
304,14,Negative Selection and Chromosome Instability Induced by Mad2 Overexpression Delay Breast Cancer but Facilitate Oncogene-Independent Outgrowth.
305,14,Mad2
306,14,"Chromosome instability (CIN) is associated with poor survival and therapeutic outcome in a number of malignancies. Despite this correlation, CIN can also lead to growth disadvantages. Here, we show that simultaneous overexpression of the mitotic checkpoint protein Mad2 with Kras(G12D) or Her2 in mammary glands of adult mice results in mitotic checkpoint overactivation and a delay in tumor onset. Time-lapse imaging of organotypic cultures and pathologic analysis prior to tumor establishment reveals error-prone mitosis, mitotic arrest, and cell death. Nonetheless, Mad2 expression persists and increases karyotype complexity in Kras tumors. Faced with the selective pressure of oncogene withdrawal, Mad2-positive tumors have a higher frequency of developing persistent subclones that avoid remission and continue to grow."
307,14,Mad2
308,14,Kras
309,14,G12D
310,14,Her2
311,14,Mad2
312,14,Kras
313,14,Mad2
314,15,MiR-204 silencing in intraepithelial to invasive cutaneous squamous cell carcinoma progression.
315,15,MiR-204
316,15,"BACKGROUND: Cutaneous squamous cell carcinoma (cSCC) is the second most common skin cancer and frequently progresses from an actinic keratosis (AK), a sun-induced keratinocyte intraepithelial neoplasia (KIN). Epigenetic mechanisms involved in the phenomenon of progression from AK to cSCC remain to be elicited. METHODS: Expression of microRNAs in sun-exposed skin, AK and cSCC was analysed by Agilent microarrays. DNA methylation of miR-204 promoter was determined by bisulphite treatment and pyrosequencing. Identification of miR-204 targets and pathways was accomplished in HaCat cells. Immunofluorescence and immunohistochemistry were used to analyze STAT3 activation and PTPN11 expression in human biopsies. RESULTS: cSCCs display a marked downregulation of miR-204 expression when compared to AK. DNA methylation of miR-204 promoter was identified as one of the repressive mechanisms that accounts for miR-204 silencing in cSCC. In HaCaT cells miR-204 inhibits STAT3 and favours the MAPK signaling pathway, likely acting through PTPN11, a nuclear tyrosine phosphatase that is a direct miR-204 target. In non-peritumoral AK lesions, activated STAT3, as detected by pY705-STAT3 immunofluorescence, is retained in the membrane and cytoplasm compartments, whereas AK lesions adjacent to cSCCs display activated STAT3 in the nuclei. CONCLUSIONS: Our data suggest that miR-204 may act as a ""rheostat"" that controls the signalling towards the MAPK pathway or the STAT3 pathway in the progression from AK to cSCC."
317,15,miR-204
318,15,miR-204
319,15,STAT3
320,15,PTPN11
321,15,miR-204
322,15,miR-204
323,15,miR-204
324,15,miR-204
325,15,STAT3
326,15,MAPK
327,15,PTPN11
328,15,tyrosine phosphatase
329,15,miR-204
330,15,STAT3
331,15,STAT3
332,15,STAT3
333,15,miR-204
334,15,MAPK
335,15,STAT3
336,16,Gartanin induces cell cycle arrest and autophagy and suppresses migration involving PI3K/Akt/mTOR and MAPK signalling pathway in human glioma cells.
337,16,PI3K
338,16,Akt
339,16,mTOR
340,16,MAPK
